state,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016,Q4_2017,Q4_2018,Q4_2019,Q4_2020,Q4_2021,Q4_2022
OK,2.54,2.88,2.37,2.84,3.31,3.73,4.3,4.68,4.52,4.2,3.97,4.16,4.21,4.81,4.89,5.36,5.60,5.83,4.86,4.02
OR,1.73,1.95,1.52,1.69,2.3,2.97,3.98,4.09,3.75,2.86,2.21,2.03,1.79,2.03,2.27,2.38,2.61,2.45,2.12,2.24
PA,1.71,2.13,1.94,2.29,2.59,2.84,3.3,3.47,3.11,2.81,2.53,2.81,2.92,3.34,3.73,4.01,4.37,4.10,3.35,3.35
PR,3.04,3.38,3.42,4.55,4.34,4.62,4.45,5.48,5.48,5.27,5.11,5.55,5.72,5.95,,,,,,
RI,1.12,1.63,1.59,2.49,2.67,3.45,3.53,3.99,3.4,3.08,2.52,2.14,1.96,2.26,2.51,2.68,3.10,2.78,2.23,2.09
SC,3.47,4.13,3.32,3.63,4.18,5.49,6.38,7.54,7.36,5.74,5.48,5.58,5.24,5.28,5.62,6.09,6.40,6.29,5.27,4.65
SD,2.05,2.2,1.59,2.28,2.41,2.51,3.04,3.56,3.29,2.6,2.11,2.18,2.32,2.72,2.78,2.97,3.42,3.39,2.85,2.54
TN,2.75,2.62,2.21,2.56,3.07,3.93,4.94,5.7,4.94,3.96,3.7,3.74,3.33,3.93,4.16,4.36,4.83,4.74,4.28,4.44
TX,2.64,2.98,2.76,3.09,3.38,4.03,5.43,6.27,5.92,4.73,4.25,4.29,4.21,4.87,4.74,5.35,5.83,5.82,5.00,4.47
UT,1.51,1.54,1.52,1.51,1.99,2.68,3.68,4.07,3.43,2.8,2.06,2.02,1.99,2.11,2.23,2.26,2.57,2.30,1.92,1.73
VA,1.95,2.03,1.81,2.12,2.57,3.21,3.91,4.19,3.84,3.25,2.94,2.92,2.67,3.03,3.19,3.72,3.93,3.74,3.34,3.34
VT,1.2,1.46,1.28,1.81,1.72,2.01,2.61,2.55,2.7,2.2,1.95,2.26,2.13,2.57,2.70,2.92,3.21,3.03,2.55,2.18
WA,1.33,1.67,1.38,1.63,2.06,2.85,3.63,3.87,3.63,3.06,2.42,2.23,2.06,2.08,2.26,2.25,2.56,2.52,2.10,2.04
WI,2.06,1.94,1.51,2.02,1.97,2.33,2.71,2.6,2.13,1.95,1.64,1.83,1.86,2.22,2.41,2.49,2.71,2.73,2.52,2.52
WV,1.96,2.22,1.73,2.04,2.31,2.6,3.25,3.59,3.07,2.85,2.64,3.23,3.7,4.58,5.06,5.01,5.41,5.10,3.95,3.70
WY,1.63,1.75,1.46,1.47,1.88,2.03,2.75,3.32,3.03,2.65,2.21,2.1,2.76,2.96,3.15,3.50,3.73,3.84,3.19,2.93
allUS,2.21,2.47,2.13,2.56,3.08,3.92,4.83,5.24,4.78,3.97,3.45,3.48,3.32,3.75,4.03,4.41,4.87,4.76,4.04,3.81
