date,GDP,gdp_yoy
1954-05-01,387.746,-0.9731251952677766
1954-06-01,389.371,-0.5091598521750118
1954-07-01,390.996,-0.04473746775707221
1954-08-01,393.90866666666665,1.1481522059175964
1954-09-01,396.8213333333333,2.351710197908874
1954-10-01,399.734,3.5660802653055823
1954-11-01,404.1803333333333,4.774623364166963
1954-12-01,408.62666666666667,5.984472532982887
1955-01-01,413.073,7.195629890098476
1955-02-01,415.8926666666666,7.854956427627302
1955-03-01,418.71233333333333,8.513398992905085
1955-04-01,421.532,9.170959362479646
1955-05-01,424.42833333333334,9.460402772261567
1955-06-01,427.32466666666664,9.74743025717546
1955-07-01,430.221,10.032071939354893
1955-08-01,432.5113333333333,9.799902853961061
1955-09-01,434.8016666666667,9.571142008494181
1955-10-01,437.092,9.345714900408764
1955-11-01,437.97666666666663,8.361696635412752
1955-12-01,438.86133333333333,7.399092896531467
1956-01-01,439.746,6.457212163467485
1956-02-01,441.834,6.237506792617986
1956-03-01,443.92199999999997,6.020760474375009
1956-04-01,446.01,5.806913828606142
1956-05-01,447.73699999999997,5.4917791382133485
1956-06-01,449.464,5.180916305634908
1956-07-01,451.191,4.874239053881602
1956-08-01,454.28166666666664,5.033471184570115
1956-09-01,457.37233333333336,5.191025793369386
1956-10-01,460.463,5.346929250592569
1956-11-01,463.5683333333333,5.843157550250022
1956-12-01,466.6736666666667,6.337385233300719
1957-01-01,469.779,6.8296243740704865
1957-02-01,470.5276666666667,6.49421879408707
1957-03-01,471.2763333333333,6.161968393846973
1957-04-01,472.025,5.832828860339445
1957-05-01,474.5133333333333,5.9803709171529995
1957-06-01,477.00166666666667,6.126779156209761
1957-07-01,479.49,6.272066597073089
1957-08-01,477.948,5.209616647527793
1957-09-01,476.406,4.161525584188519
1957-10-01,474.864,3.1275042728731606
1957-11-01,472.42266666666666,1.9100384337440435
1957-12-01,469.98133333333334,0.7087750826594741
1958-01-01,467.54,-0.47660708545932406
1958-02-01,469.01933333333335,-0.3205620923459662
1958-03-01,470.4986666666667,-0.16501288345336373
1958-04-01,471.978,-0.009957099729884789
