DATE,RCCCBBALDPD90P
2012-07-01,1.61
2012-10-01,1.63
2013-01-01,1.61
2013-04-01,1.73
2013-07-01,1.14
2013-10-01,1.21
2014-01-01,1.17
2014-04-01,1.0
2014-07-01,1.03
2014-10-01,1.09
2015-01-01,1.09
2015-04-01,0.95
2015-07-01,1.02
2015-10-01,1.12
2016-01-01,1.12
2016-04-01,1.02
2016-07-01,1.11
2016-10-01,1.24
2017-01-01,1.28
2017-04-01,1.16
2017-07-01,1.27
2017-10-01,1.34
2018-01-01,1.37
2018-04-01,1.21
2018-07-01,1.26
2018-10-01,1.4
2019-01-01,1.45
2019-04-01,1.27
2019-07-01,1.34
2019-10-01,1.46
2020-01-01,1.48
2020-04-01,1.32
2020-07-01,0.97
2020-10-01,1.14
2021-01-01,1.14
2021-04-01,0.79
2021-07-01,0.72
2021-10-01,0.79
2022-01-01,0.88
2022-04-01,0.83
2022-07-01,0.96
2022-10-01,1.16
2023-01-01,1.35
2023-04-01,1.32
2023-07-01,1.52
