,year,periodName,CPI,CPI_yoy,Unemployment,NF Employment,NF Employment_yoy,ULC,ULC_yoy,Hourly earnings,Hourly earnings_yoy,PPI,PPI_yoy,Shelter,Shelter_yoy,Energy,Energy_yoy,Medical Care,Medical Care_yoy,Food,Food_yoy,Gasoline,Gasoline_yoy,Imports,Imports_yoy,New & Used Vehicles,New & Used Vehicles_yoy,All Items Less Food & Shelter,All Items Less Food & Shelter_yoy
0,2023,December,306.746,3.3521228314302300,3.7,157347.0,1.9806728843548800,,,34.36,4.310868245294480,141.154,0.9829732436686280,390.037,6.174408950470230,269.375,-2.023008907495170,556.146,0.44538361508452700,325.409,2.704843785013830,3.289,-1.9964243146603100,139.5,-1.6220028208744800,127.596,0.08000376488306320,270.725,2.1846703178491500
1,2023,November,307.051,3.1372707088417800,3.7,157014.0,1.8546268366254700,,,34.23,4.264392324093810,141.877,0.7756508150726480,388.266,6.526009657594380,277.029,-5.435684222383790,553.095,0.16479984063313400,325.172,2.9491193799725800,3.5,-9.161692187905540,139.5,-1.4830508474576200,127.908,-0.09607048292992190,270.202,2.107124772320180
2,2023,October,307.671,3.241144651893200,3.8,156832.0,1.9071196969401500,,,34.1,4.281345565749240,142.448,1.2135853346596500,386.536,6.730726750607460,286.754,-4.529579603074970,549.927,-0.7733488748910560,325.731,3.3007424133349100,3.782,-5.826693227091630,140.2,-1.7519271198318200,126.772,-1.8199842009882200,269.779,2.0209125115813000
3,2023,September,307.789,3.69969812134443,3.8,156667.0,2.0392611504793700,,,34.01,4.51751690227411,142.898,2.0219039595619200,385.259,7.145856799187910,296.004,-0.4503216823668280,548.079,-1.4179026624121800,324.704,3.6922546320838500,3.988,2.7570213862406500,141.0,-1.467505241090140,127.343,-1.9155819148116800,269.39,1.930855471513930
4,2023,August,307.026,3.6651123843995500,3.8,156421.0,2.04852525753354,,,33.91,4.531442663378550,142.641,1.9119065480655900,382.782,7.248886273850540,294.328,-3.6165725737788800,546.954,-0.9638279341707360,324.1,4.254121431443500,3.955,-3.560107290904660,140.3,-2.97372060857537,128.323,-0.8031724926949040,269.199,2.318518884526370
5,2023,July,305.691,3.177780177942170,3.5,156211.0,2.0733412616474400,,,33.84,4.670584596350150,141.871,1.1312765532776500,381.681,7.658308182664380,284.828,-12.4702295894065,546.117,-0.5202441650135840,323.523,4.858815293065240,3.732,-20.034283265481000,139.4,-4.781420765027320,128.534,-0.22356429802363700,268.471,2.568892862191350
6,2023,June,305.109,2.9691776545588900,3.6,156027.0,2.4148659647648800,,,33.7,4.658385093167690,141.181,0.25706758320966900,380.006,7.798839195039050,283.854,-16.738091676273100,547.357,0.13116493487486100,322.556,5.741851095426510,3.712,-26.61130881771450,139.4,-6.127946127946130,129.192,0.10072678247663400,268.627,2.754901023238030
7,2023,May,304.127,4.047609272791970,3.7,155787.0,2.540018956347750,,,33.54,4.551122194513720,140.912,1.0708726931049500,378.622,8.026785434064990,279.816,-11.66336764942660,547.273,0.7240415284012430,322.249,6.691542123838730,3.685,-19.960903562119900,139.7,-5.735492577597850,129.346,1.3524525936373700,268.635,3.3975089296711400
8,2023,April,303.363,4.930320398188930,3.4,155484.0,2.533598871025180,,,33.44,4.663536776212830,141.303,2.2608355828309700,376.528,8.095817735008400,283.352,-5.064847605613990,546.849,1.0536878149560100,321.566,7.651208023808940,3.735,-12.549754155935400,140.3,-4.8813559322033800,127.794,0.8722146358405290,267.717,3.7071900893676800
9,2023,March,301.836,4.984974122099170,3.5,155206.0,2.5341877518662900,,,33.31,4.616834170854280,140.995,2.660531086856800,374.946,8.175182481751820,279.084,-6.424897567779610,546.988,1.495749888203780,320.863,8.499364280690360,3.551,-17.64842300556590,139.9,-4.700272479564040,126.256,0.0634034998731936,266.653,3.7653175186884700
10,2023,February,300.84,6.035613077866600,3.6,155060.0,2.7731382062090800,,,33.15,4.739336492891,140.956,4.736924231503710,372.869,8.115576432382280,281.673,5.191749666692800,548.634,2.338760222049770,320.569,9.486191656932870,3.514,-2.171492204899780,141.0,-1.1220196353436200,125.992,-1.3575935987974200,265.98,3.6878216123499300
11,2023,January,299.17,6.410146968856270,3.4,154773.0,3.1723705787459800,,,33.07,4.552639898830240,140.713,5.740415107383860,370.07,7.906914358527260,283.33,8.700072510195530,551.634,3.060229349056700,319.136,10.133484256588000,3.452,1.1426897157925700,141.3,0.8565310492505420,126.813,-0.904118152692035,265.396,3.8837611655197800
12,2022,December,296.797,6.4544013314108200,3.5,154291.0,3.023443707724870,,,32.94,4.9044585987261000,139.78,6.422828602753070,367.355,7.475965617521260,274.937,7.310495029409810,553.68,3.9950414154505100,316.839,10.409944035181900,3.356,-1.5258215962441400,141.8,3.2023289665211100,127.494,0.758689364123466,264.937,4.452303228146540
13,2022,November,297.711,7.110322794191730,3.6,154155.0,3.3231231190975700,,,32.83,5.089628681177970,140.785,7.395682355633530,364.48,7.086614173228360,292.953,13.065611732921600,552.185,4.172287004144740,315.857,10.630212218964900,3.853,10.654796094198700,141.6,2.683103698332110,128.031,3.6755417354970500,264.626,5.181027938201280
14,2022,October,298.012,7.7454273308049200,3.6,153897.0,3.5883041880376400,,,32.7,4.975922953451060,140.74,8.18081892741569,362.16,6.903758279905080,300.359,17.631923176338800,554.213,5.003760872901440,315.323,10.949138825847500,4.016,18.641063515509600,142.7,4.236669101533950,129.122,6.953705467708150,264.435,5.872249447487280
15,2022,September,296.808,8.20166964383362,3.5,153536.0,3.9470299107687000,,,32.54,5.1373182552504100,140.066,8.480745995848690,359.565,6.606321694244890,297.343,19.786244903878700,555.962,5.977259080641620,313.142,11.238126363203600,3.881,18.866768759571200,143.1,6.078576723498870,129.83,9.812313391807440,264.287,6.666693573449450
16,2022,August,296.171,8.262692503116240,3.6,153281.0,4.112724654612630,,,32.44,5.4273643158921000,139.965,8.706458001631010,356.91,6.254521421490260,305.372,23.813346632122200,552.277,5.328634065496060,310.875,11.370842065667200,4.101,25.990783410138300,144.6,7.6693968726731000,129.362,9.77393842707308,263.099,6.33141092740257
17,2022,July,296.276,8.52481474562552,3.5,153038.0,4.27702182459917,,,32.33,5.4812398042414400,140.284,9.747778195018150,354.53,5.7193976442522700,325.407,32.92769607843140,548.973,4.816847893535960,308.532,10.93205621892160,4.667,44.35508815341790,146.4,8.766716196136720,128.822,9.140664051578810,261.747,6.009501476252390
