,year,periodName,CPI,CPI_yoy,Unemployment,NF Employment,NF Employment_yoy,ULC,ULC_yoy,Hourly earnings,Hourly earnings_yoy,PPI,PPI_yoy,Shelter,Shelter_yoy,Energy,Energy_yoy,Medical Care,Medical Care_yoy,Food,Food_yoy,Gasoline,Gasoline_yoy,Imports,Imports_yoy,New & Used Vehicles,New & Used Vehicles_yoy,All Items Less Food & Shelter,All Items Less Food & Shelter_yoy
8,2023,April,303.363,4.930320398188925,3.4,155484.0,2.533598871025178,,,33.44,4.663536776212829,141.303,2.2608355828309668,376.528,8.095817735008403,283.352,-5.064847605613987,546.849,1.0536878149560058,321.566,7.651208023808942,3.735,-12.549754155935378,140.3,-4.8813559322033795,127.794,0.8722146358405292,267.717,3.7071900893676846
9,2023,March,301.836,4.984974122099173,3.5,155206.0,2.5341877518662903,,,33.31,4.616834170854278,140.995,2.660531086856799,374.946,8.175182481751818,279.084,-6.424897567779608,546.988,1.495749888203779,320.863,8.499364280690358,3.551,-17.64842300556586,139.9,-4.700272479564038,126.256,0.0634034998731936,266.653,3.7653175186884713
10,2023,February,300.84,6.035613077866597,3.6,155060.0,2.7731382062090804,,,33.15,4.739336492891,140.956,4.736924231503714,372.869,8.115576432382277,281.673,5.191749666692802,548.634,2.338760222049774,320.569,9.486191656932874,3.514,-2.171492204899783,141.0,-1.1220196353436185,125.992,-1.3575935987974241,265.98,3.6878216123499286
11,2023,January,299.17,6.410146968856267,3.4,154773.0,3.1723705787459755,,,33.07,4.552639898830235,140.713,5.740415107383856,370.07,7.906914358527262,283.33,8.700072510195533,551.634,3.060229349056698,319.136,10.133484256587955,3.452,1.1426897157925664,141.3,0.8565310492505418,126.813,-0.904118152692035,265.396,3.8837611655197835
12,2022,December,296.797,6.4544013314108195,3.5,154291.0,3.023443707724871,,,32.94,4.9044585987261025,139.78,6.422828602753072,367.355,7.475965617521263,274.937,7.310495029409814,553.68,3.9950414154505065,316.839,10.409944035181873,3.356,-1.5258215962441368,141.8,3.2023289665211063,127.494,0.758689364123466,264.937,4.452303228146537
13,2022,November,297.711,7.110322794191726,3.6,154155.0,3.3231231190975707,,,32.83,5.089628681177971,140.785,7.395682355633526,364.48,7.086614173228356,292.953,13.065611732921623,552.185,4.172287004144737,315.857,10.630212218964875,3.853,10.654796094198726,141.6,2.683103698332112,128.031,3.6755417354970454,264.626,5.181027938201277
14,2022,October,298.012,7.7454273308049215,3.6,153897.0,3.5883041880376387,,,32.7,4.975922953451062,140.74,8.18081892741569,362.16,6.903758279905081,300.359,17.631923176338816,554.213,5.003760872901442,315.323,10.949138825847538,4.016,18.641063515509604,142.7,4.236669101533952,129.122,6.953705467708149,264.435,5.872249447487277
15,2022,September,296.808,8.20166964383362,3.5,153536.0,3.9470299107686957,,,32.54,5.1373182552504115,140.066,8.480745995848693,359.565,6.606321694244888,297.343,19.786244903878703,555.962,5.977259080641617,313.142,11.238126363203627,3.881,18.866768759571208,143.1,6.078576723498874,129.83,9.812313391807436,264.287,6.666693573449445
16,2022,August,296.171,8.262692503116241,3.6,153281.0,4.112724654612632,,,32.44,5.4273643158921026,139.965,8.706458001631013,356.91,6.254521421490256,305.372,23.813346632122247,552.277,5.328634065496063,310.875,11.370842065667164,4.101,25.990783410138253,144.6,7.6693968726730954,129.362,9.77393842707308,263.099,6.33141092740257
17,2022,July,296.276,8.52481474562552,3.5,153038.0,4.27702182459917,,,32.33,5.4812398042414445,140.284,9.747778195018153,354.53,5.7193976442522665,325.407,32.92769607843135,548.973,4.816847893535958,308.532,10.93205621892157,4.667,44.35508815341787,146.4,8.766716196136715,128.822,9.140664051578806,261.747,6.009501476252388
18,2022,June,296.311,9.059757964784154,3.6,152348.0,4.475319224808327,,,32.2,5.435494433529819,140.819,11.231437598736171,352.514,5.607616628120171,340.917,41.623878364905266,546.64,4.530669455986924,305.041,10.439671839134546,5.058,60.367786937222576,148.5,10.655737704918034,129.062,9.556551560218685,261.425,6.081878938633412
19,2022,May,292.296,8.581511543676523,3.6,151928.0,4.746145997076745,,,32.08,5.561039815728841,139.419,11.09083665338646,350.489,5.445426894391803,316.761,34.59775047909612,543.339,3.7353896909736006,302.038,10.147623007016481,4.604,54.91251682368776,148.2,11.596385542168663,127.62,13.704805858978242,259.808,6.430271474861837
20,2022,April,289.109,8.258629340882372,3.7,151642.0,4.875063108172584,,,31.95,5.759682224428997,138.179,11.165728077232506,348.328,5.135944366639289,298.469,30.269819654672723,541.147,3.226821763688159,298.711,9.381888754623024,4.271,50.44029587883057,147.5,12.50953470633105,126.689,17.281824830357053,258.147,6.853346578914676
