,TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
59,T20600,A065RC,1,Personal income,2005M12,Current Dollars,Level,6,"10,853,063",T20600
60,T20600,A065RC,1,Personal income,2006M01,Current Dollars,Level,6,"11,038,623",T20600
61,T20600,A065RC,1,Personal income,2006M02,Current Dollars,Level,6,"11,102,615",T20600
62,T20600,A065RC,1,Personal income,2006M03,Current Dollars,Level,6,"11,171,777",T20600
63,T20600,A065RC,1,Personal income,2006M04,Current Dollars,Level,6,"11,229,536",T20600
64,T20600,A065RC,1,Personal income,2006M05,Current Dollars,Level,6,"11,251,120",T20600
65,T20600,A065RC,1,Personal income,2006M06,Current Dollars,Level,6,"11,292,755",T20600
66,T20600,A065RC,1,Personal income,2006M07,Current Dollars,Level,6,"11,322,083",T20600
67,T20600,A065RC,1,Personal income,2006M08,Current Dollars,Level,6,"11,346,840",T20600
68,T20600,A065RC,1,Personal income,2006M09,Current Dollars,Level,6,"11,383,916",T20600
69,T20600,A065RC,1,Personal income,2006M10,Current Dollars,Level,6,"11,417,787",T20600
70,T20600,A065RC,1,Personal income,2006M11,Current Dollars,Level,6,"11,479,301",T20600
71,T20600,A065RC,1,Personal income,2006M12,Current Dollars,Level,6,"11,587,605",T20600
72,T20600,A065RC,1,Personal income,2007M01,Current Dollars,Level,6,"11,647,121",T20600
73,T20600,A065RC,1,Personal income,2007M02,Current Dollars,Level,6,"11,734,174",T20600
74,T20600,A065RC,1,Personal income,2007M03,Current Dollars,Level,6,"11,821,429",T20600
75,T20600,A065RC,1,Personal income,2007M04,Current Dollars,Level,6,"11,868,073",T20600
76,T20600,A065RC,1,Personal income,2007M05,Current Dollars,Level,6,"11,908,720",T20600
77,T20600,A065RC,1,Personal income,2007M06,Current Dollars,Level,6,"11,929,248",T20600
78,T20600,A065RC,1,Personal income,2007M07,Current Dollars,Level,6,"11,955,711",T20600
79,T20600,A065RC,1,Personal income,2007M08,Current Dollars,Level,6,"11,963,081",T20600
80,T20600,A065RC,1,Personal income,2007M09,Current Dollars,Level,6,"12,025,458",T20600
81,T20600,A065RC,1,Personal income,2007M10,Current Dollars,Level,6,"12,046,839",T20600
82,T20600,A065RC,1,Personal income,2007M11,Current Dollars,Level,6,"12,102,811",T20600
83,T20600,A065RC,1,Personal income,2007M12,Current Dollars,Level,6,"12,182,739",T20600
84,T20600,A065RC,1,Personal income,2008M01,Current Dollars,Level,6,"12,227,791",T20600
85,T20600,A065RC,1,Personal income,2008M02,Current Dollars,Level,6,"12,264,927",T20600
86,T20600,A065RC,1,Personal income,2008M03,Current Dollars,Level,6,"12,314,677",T20600
87,T20600,A065RC,1,Personal income,2008M04,Current Dollars,Level,6,"12,302,604",T20600
88,T20600,A065RC,1,Personal income,2008M05,Current Dollars,Level,6,"12,879,279",T20600
89,T20600,A065RC,1,Personal income,2008M06,Current Dollars,Level,6,"12,661,020",T20600
90,T20600,A065RC,1,Personal income,2008M07,Current Dollars,Level,6,"12,514,829",T20600
91,T20600,A065RC,1,Personal income,2008M08,Current Dollars,Level,6,"12,426,008",T20600
92,T20600,A065RC,1,Personal income,2008M09,Current Dollars,Level,6,"12,444,992",T20600
93,T20600,A065RC,1,Personal income,2008M10,Current Dollars,Level,6,"12,446,476",T20600
94,T20600,A065RC,1,Personal income,2008M11,Current Dollars,Level,6,"12,387,090",T20600
95,T20600,A065RC,1,Personal income,2008M12,Current Dollars,Level,6,"12,238,467",T20600
96,T20600,A065RC,1,Personal income,2009M01,Current Dollars,Level,6,"12,125,634",T20600
97,T20600,A065RC,1,Personal income,2009M02,Current Dollars,Level,6,"12,007,441",T20600
98,T20600,A065RC,1,Personal income,2009M03,Current Dollars,Level,6,"11,965,280",T20600
99,T20600,A065RC,1,Personal income,2009M04,Current Dollars,Level,6,"12,009,424",T20600
100,T20600,A065RC,1,Personal income,2009M05,Current Dollars,Level,6,"12,179,626",T20600
101,T20600,A065RC,1,Personal income,2009M06,Current Dollars,Level,6,"12,042,936",T20600
102,T20600,A065RC,1,Personal income,2009M07,Current Dollars,Level,6,"11,998,429",T20600
103,T20600,A065RC,1,Personal income,2009M08,Current Dollars,Level,6,"12,011,197",T20600
104,T20600,A065RC,1,Personal income,2009M09,Current Dollars,Level,6,"12,061,068",T20600
105,T20600,A065RC,1,Personal income,2009M10,Current Dollars,Level,6,"12,069,381",T20600
106,T20600,A065RC,1,Personal income,2009M11,Current Dollars,Level,6,"12,129,551",T20600
107,T20600,A065RC,1,Personal income,2009M12,Current Dollars,Level,6,"12,188,213",T20600
108,T20600,A065RC,1,Personal income,2010M01,Current Dollars,Level,6,"12,267,734",T20600
109,T20600,A065RC,1,Personal income,2010M02,Current Dollars,Level,6,"12,267,602",T20600
110,T20600,A065RC,1,Personal income,2010M03,Current Dollars,Level,6,"12,330,883",T20600
111,T20600,A065RC,1,Personal income,2010M04,Current Dollars,Level,6,"12,441,763",T20600
112,T20600,A065RC,1,Personal income,2010M05,Current Dollars,Level,6,"12,543,666",T20600
113,T20600,A065RC,1,Personal income,2010M06,Current Dollars,Level,6,"12,550,689",T20600
114,T20600,A065RC,1,Personal income,2010M07,Current Dollars,Level,6,"12,588,650",T20600
115,T20600,A065RC,1,Personal income,2010M08,Current Dollars,Level,6,"12,652,854",T20600
116,T20600,A065RC,1,Personal income,2010M09,Current Dollars,Level,6,"12,673,385",T20600
117,T20600,A065RC,1,Personal income,2010M10,Current Dollars,Level,6,"12,723,648",T20600
118,T20600,A065RC,1,Personal income,2010M11,Current Dollars,Level,6,"12,765,527",T20600
119,T20600,A065RC,1,Personal income,2010M12,Current Dollars,Level,6,"12,873,134",T20600
120,T20600,A065RC,1,Personal income,2011M01,Current Dollars,Level,6,"13,080,700",T20600
121,T20600,A065RC,1,Personal income,2011M02,Current Dollars,Level,6,"13,155,599",T20600
122,T20600,A065RC,1,Personal income,2011M03,Current Dollars,Level,6,"13,178,188",T20600
123,T20600,A065RC,1,Personal income,2011M04,Current Dollars,Level,6,"13,212,784",T20600
124,T20600,A065RC,1,Personal income,2011M05,Current Dollars,Level,6,"13,239,110",T20600
125,T20600,A065RC,1,Personal income,2011M06,Current Dollars,Level,6,"13,295,749",T20600
126,T20600,A065RC,1,Personal income,2011M07,Current Dollars,Level,6,"13,375,786",T20600
127,T20600,A065RC,1,Personal income,2011M08,Current Dollars,Level,6,"13,400,342",T20600
128,T20600,A065RC,1,Personal income,2011M09,Current Dollars,Level,6,"13,401,533",T20600
129,T20600,A065RC,1,Personal income,2011M10,Current Dollars,Level,6,"13,406,440",T20600
130,T20600,A065RC,1,Personal income,2011M11,Current Dollars,Level,6,"13,419,730",T20600
131,T20600,A065RC,1,Personal income,2011M12,Current Dollars,Level,6,"13,548,888",T20600
132,T20600,A065RC,1,Personal income,2012M01,Current Dollars,Level,6,"13,631,583",T20600
133,T20600,A065RC,1,Personal income,2012M02,Current Dollars,Level,6,"13,731,081",T20600
134,T20600,A065RC,1,Personal income,2012M03,Current Dollars,Level,6,"13,798,482",T20600
135,T20600,A065RC,1,Personal income,2012M04,Current Dollars,Level,6,"13,868,118",T20600
136,T20600,A065RC,1,Personal income,2012M05,Current Dollars,Level,6,"13,850,339",T20600
137,T20600,A065RC,1,Personal income,2012M06,Current Dollars,Level,6,"13,837,122",T20600
138,T20600,A065RC,1,Personal income,2012M07,Current Dollars,Level,6,"13,752,948",T20600
139,T20600,A065RC,1,Personal income,2012M08,Current Dollars,Level,6,"13,768,499",T20600
140,T20600,A065RC,1,Personal income,2012M09,Current Dollars,Level,6,"13,914,096",T20600
141,T20600,A065RC,1,Personal income,2012M10,Current Dollars,Level,6,"14,049,232",T20600
142,T20600,A065RC,1,Personal income,2012M11,Current Dollars,Level,6,"14,230,657",T20600
143,T20600,A065RC,1,Personal income,2012M12,Current Dollars,Level,6,"14,581,378",T20600
144,T20600,A065RC,1,Personal income,2013M01,Current Dollars,Level,6,"13,880,373",T20600
145,T20600,A065RC,1,Personal income,2013M02,Current Dollars,Level,6,"13,902,038",T20600
146,T20600,A065RC,1,Personal income,2013M03,Current Dollars,Level,6,"13,932,249",T20600
147,T20600,A065RC,1,Personal income,2013M04,Current Dollars,Level,6,"13,974,861",T20600
148,T20600,A065RC,1,Personal income,2013M05,Current Dollars,Level,6,"14,052,527",T20600
149,T20600,A065RC,1,Personal income,2013M06,Current Dollars,Level,6,"14,083,850",T20600
150,T20600,A065RC,1,Personal income,2013M07,Current Dollars,Level,6,"14,071,958",T20600
151,T20600,A065RC,1,Personal income,2013M08,Current Dollars,Level,6,"14,117,287",T20600
152,T20600,A065RC,1,Personal income,2013M09,Current Dollars,Level,6,"14,181,669",T20600
153,T20600,A065RC,1,Personal income,2013M10,Current Dollars,Level,6,"14,152,303",T20600
154,T20600,A065RC,1,Personal income,2013M11,Current Dollars,Level,6,"14,209,640",T20600
155,T20600,A065RC,1,Personal income,2013M12,Current Dollars,Level,6,"14,266,491",T20600
156,T20600,A065RC,1,Personal income,2014M01,Current Dollars,Level,6,"14,369,183",T20600
